Telephone Calls by Prime Minister on New Year	ಹೊಸ ವರ್ಷದಂದು ಪ್ರಧಾನಮಂತ್ರಿಯವರಿಂದ ದೂರವಾಣಿ ಕರೆಗಳು
PM to lay Foundation Stone for Memorial Museum of Shri Shri Shivakumar Swamiji	ಶ್ರೀ ಶ್ರೀ ಶಿವಕುಮಾರ ಸ್ವಾಮೀಜಿ ಸ್ಮಾರಕ ವಸ್ತುಸಂಗ್ರಹಾಲಯಕ್ಕೆ ಶಂಕುಸ್ಥಾಪನೆ ನೆರವೇರಿಸಲಿರುವ ಪ್ರಧಾನಮಂತ್ರಿ
The Prime Minister, Shri Narendra Modi, will visit Karnataka on 2ndand 3rdJanuary 2020	ಪ್ರಧಾನಮಂತ್ರಿ ಶ್ರೀ ನರೇಂದ್ರ ಮೋದಿ ಅವರು 2020 ಜನವರಿ 2 ಮತ್ತು 3ರಂದು ಕರ್ನಾಟಕಕ್ಕೆ ಭೇಟಿ ನೀಡಲಿದ್ದಾರೆ.
At Tumkur, He will visit the Sree Siddaganga Mutt, where he will unveil a plaque to mark the laying of Foundation Stone for a memorial museum of Shri Shri Shivakumar Swamiji.	ತುಮಕೂರಿನಲ್ಲಿ ಅವರು ಶ್ರೀ ಸಿದ್ದಗಂಗಾಮಠಕ್ಕೆ ಭೇಟಿ ನೀಡಿ, ಅಲ್ಲಿ ಶ್ರೀ ಶ್ರೀ ಶಿವಕುಮಾರ ಸ್ವಾಮೀಜಿ ಸ್ಮಾರಕ ವಸ್ತುಸಂಗ್ರಹಾಲಯಕ್ಕೆ ಶಂಕುಸ್ಥಾಪನೆ ನೆರವೇರಿಸುವ ಸಲುವಾಗಿ ಫಲಕ ಅನಾವರಣ ಮಾಡಲಿದ್ದಾರೆ
The Chief Minister of Karnataka Shri BYediyurappaand other dignitaries including Sh	ಕರ್ನಾಟಕ ಮುಖ್ಯಮಂತ್ರಿ ಶ್ರೀ ಬಿ ಸ್ ಡಿಯೂರಪ್ಪ ಮತ್ತು ಶ್ರೀ ಸಿದ್ದಲಿಂಗೇಶ್ವರ ಸ್ವಾಮಿ ಸೇರಿದಂತೆ ಇತರ ಗಣ್ಯರು  ಸಮಾರಂಭದಲ್ಲಿ ಉಪಸ್ಥಿತರಿರುತ್ತಾರೆ.
Prime Minister will address the gathering.	ಪ್ರಧಾನಮಂತ್ರಿಯವರು ಸಭಿಕರನ್ನುದ್ದೇಶಿಸಿ ಭಾಷಣ ಮಾಡಲಿದ್ದಾರೆ.
The Prime Minister Shri Narendra Modi will distribute Krishi Karman Awards and Commendation Awards to states at a public meeting in Tumkur Karnataka on Thursday, 22020	ಪ್ರಧಾನಮಂತ್ರಿ ಶ್ರೀ ನರೇಂದ್ರ ಮೋದಿ ಅವರು 2020ರ ಜನವರಿ 2ರ ಗುರುವಾರ ಕರ್ನಾಟಕದ ತುಮಕೂರಿನಲ್ಲಿ ನಡೆಯಲಿರುವ ಸಾರ್ವಜನಿಕ ಸಭೆಯಲ್ಲಿ ರಾಜ್ಯಗಳಿಗೆ ಶ್ಲಾಘನೆಯ ಪ್ರಶಸ್ತಿ ಮತ್ತು ಕೃಷಿ ಕರ್ಮಣ್  ಪ್ರಶಸ್ತಿಗಳನ್ನು ಪ್ರದಾನ ಮಾಡಲಿದ್ದಾರೆ.
He will also give away Agriculture Ministers Krishi Karman Awards for Progressive Farmers.	ಅವರು ಕೃಷಿ ಸಚಿವರ ಕೃಷಿ ಕರ್ಮಣ್ ಪ್ರಶಸ್ತಿಗಳನ್ನು ಪ್ರಗತಿಪರ ರೈತರಿಗೆ ಪ್ರದಾನ ಮಾಡಲಿದ್ದಾರೆ.
This will benefit approximately 6 crore beneficiariesrime Minister will also hand over Certificates to beneficiaries under PM Kisan from 8 States/UTs.	ಪ್ರಧಾನಮಂತ್ರಿಯವರು ಪ್ರಧಾನಮಂತ್ರಿ ಕಿಸಾನ್ ಅಡಿಯಲ್ಲಿ 8 ರಾಜ್ಯಗಳು/ಕೇಂದ್ರಡಾಳಿತ ಪ್ರದೇಶಗಳ ಫಲಾನುಭವಿಗಳಿಗೆ ಪ್ರಮಾಣಪತ್ರಗಳನ್ನೂ ಹಸ್ತಾಂತರಿಸಲಿದ್ದಾರೆ.
At the same event, Prime Minister will also handover the Keys of Deep Sea fishing Vessels and Fishing Vessel Transponders to select farmers of Tamil Nadu.	ಇದೇ ಕಾರ್ಯಕ್ರಮದಲ್ಲಿ ಪ್ರಧಾನಂತ್ರಿಯವರು ಆಳ ಸಮುದ್ರದಲ್ಲಿ ಮೀನುಗಾರಿಕೆ ನಡೆಸುವ ಹಡಗುಗಳ ಕೀಗಳು ಮತ್ತು ಮೀನುಗಾರಿಕೆ ಹಡಗುಗಳ ಟ್ರಾನ್ಸ್ ಪಾಂಡರ್ ಗಳನ್ನು ತಮಿಳುನಾಡಿನ ಆಯ್ದ ಮೀನುಗಾರರಿಗೆ ಹಸ್ತಾಂತರಿಸಲಿದ್ದಾರೆ.
He will also distribute Kisan Credit Cards (KCC) to select farmers of Karnataka.	ಕಿಸಾನ್ ಕ್ರಿಡಿಟ್ ಕಾರ್ಡ್ (ಕೆಸಿಸಿ)ಗಳನ್ನು ಸಹ ಅವರು ಕರ್ನಾಟಕದ ಆಯ್ದ ರೈತರಿಗೆ ವಿತರಣೆ ಮಾಡಲಿದ್ದಾರೆ.
The Prime Minister will visit an Exhibition at the venue, and address the gathering.	ಪ್ರಧಾನಮಂತ್ರಿಯವರು ಕಾರ್ಯಕ್ರಮ ಸ್ಥಳದಲ್ಲಿ ವಸ್ತುಪ್ರದರ್ಶನಕ್ಕೆ ಭೇಟಿ ನೀಡಿ, ಸಭಿಕರನ್ನುದ್ದೇಶಿಸಿ ಭಾಷಣ ಮಾಡಲಿದ್ದಾರೆ.
PM dedicates 5 DRDO Young Scientists Laboratories to the Nation	ಪ್ರಧಾನಿಯವರಿಂದ ಐದು ರಕ್ಷಣಾ ಸಂಶೋಧನೆ ಮತ್ತು ಅಭಿವೃದ್ಧಿ ಸಂಸ್ಥೆ (DRDO)  ಯುವ ವಿಜ್ಞಾನಿಗಳ ಪ್ರಯೋಗಾಲಯಗಳ ಲೋಕಾರ್ಪಣೆ
In a boost to indigenous research capabilities in the defence sector, Prime Minister Shri Narendra Modi will dedicate Five DRDO Young Scientists Laboratories to the nation on Thursday January 2, 2020	ರಕ್ಷಣಾ ಕ್ಷೇತ್ರದಲ್ಲಿ ಸ್ಥಳೀಯ ಸಂಶೋಧನಾ ಸಾಮರ್ಥ್ಯಗಳಿಗೆ ಉತ್ತೇಜನ ನೀಡುವ ಸಲುವಾಗಿ ಪ್ರಧಾನಿ ಶ್ರೀ ನರೇಂದ್ರ ಮೋದಿ ಅವರು 2020 ರ ಜನವರಿ 2 ರಂದು ಐದು ರಕ್ಷಣಾ ಸಂಶೋಧನೆ ಮತ್ತು ಅಭಿವೃದ್ಧಿ ಸಂಸ್ಥೆ (DRDO) ಯುವ ವಿಜ್ಞಾನಿಗಳ ಪ್ರಯೋಗಾಲಯಗಳನ್ನು ರಾಷ್ಟ್ರಕ್ಕೆ ಸಮರ್ಪಿಸಲಿದ್ದಾರೆ.
On that occasion, the Prime Minister had also called for involving youth in defence research related activities in a big way, to ensure that India remained abreast of global technological advancements in the field.	ಆ ಸಂದರ್ಭದಲ್ಲಿ, ರಕ್ಷಣಾ ಕ್ಷೇತ್ರದ ಜಾಗತಿಕ ತಾಂತ್ರಿಕ ಪ್ರಗತಿಯಲ್ಲಿ ಭಾರತವು ಸರಿಸಮನಾಗಿದೆ ಎಂಬುದನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಲು, ರಕ್ಷಣಾ ಸಂಶೋಧನಾ ಸಂಬಂಧಿತ ಚಟುವಟಿಕೆಗಳಲ್ಲಿ ಯುವಕರನ್ನು ದೊಡ್ಡ ಪ್ರಮಾಣದಲ್ಲಿ ತೊಡಗಿಸಿಕೊಳ್ಳಬೇಕೆಂದು ಪ್ರಧಾನಿ ಕರೆ ನೀಡಿದ್ದರು.
PM extends greetings on Guru Gobind Singh Jis Prakash Parv	ಶ್ರೀ ಗುರು ಗೋವಿಂದ್ ಸಿಂಗ್ ಜೀಯವರ ಪ್ರಕಾಶ್ ಪರ್ವ್, ಪ್ರಧಾನಿ ಶುಭಾಶಯ
The Prime Minister Shri Narendra Modi has extended his greetings on the occasion of Shri Guru Gobind Singh Jis Prakash Parv today.	ಶ್ರೀ ಗುರು ಗೋವಿಂದ್ ಸಿಂಗ್ ಜೀ ಅವರ ಪ್ರಕಾಶ್ ಪರ್ವ್ ವಾದ ಇಂದು, ಪ್ರಧಾನಮಂತ್ರಿ ಶ್ರೀ ನರೇಂದ್ರ ಮೋದಿ ಅವರು ಶುಭಾಶಯವನ್ನು ಕೋರಿದ್ದಾರೆ.
PM visits Sree Siddaganga Mutt, lays foundation stone for memorial museum of Shri Shri Shivakumar Swamiji	ಸಿದ್ದಗಂಗಾ ಮಠಕ್ಕೆ ಪ್ರಧಾನಮಂತ್ರಿ ಭೇಟಿಶ್ರೀ ಶ್ರೀ ಶಿವಕುಮಾರ ಸ್ವಾಮೀಜಿ ಸ್ಮಾರಕ ವಸ್ತು ಸಂಗ್ರಹಾಲಯಕ್ಕೆ ಶಂಕುಸ್ಥಾಪನೆ
PM to lay Foundation Stone for Memorial Museum of Shri Shri Shivakumar Swamiji	ಶ್ರೀ ಶ್ರೀ ಶಿವಕುಮಾರ ಸ್ವಾಮೀಜಿ ಸ್ಮಾರಕ ವಸ್ತು ಸಂಗ್ರಹಾಲಯಕ್ಕೆ ಶಂಕುಸ್ಥಾಪನೆ
Prime Minister Shri Narendra Modi visited the Shri Siddhaganga Mutt in Tumkuru, Karnataka and laid the foundation stone for a memorial museum of Shri Shri Shivakumar Swamiji.	ಪ್ರಧಾನಮಂತ್ರಿ  ಶ್ರೀ ನರೇಂದ್ರ ಮೋದಿ ಅವರು ಕರ್ನಾಟಕದ ತುಮಕೂರು ಬಳಿಯ ಶ್ರೀ ಸಿದ್ಧಗಂಗಾಮಠಕ್ಕೆ ಭೇಟಿ ನೀಡಿ, ಶ್ರೀ ಶ್ರೀ ಶಿವಕುಮಾರ ಸ್ವಾಮೀಜಿ ಸ್ಮಾರಕ ವಸ್ತುಸಂಗ್ರಹಾಲಯಕ್ಕೆ ಶಂಕುಸ್ಥಾಪನೆ ನೆರವೇರಿಸಿದರು.
PM Modi while addressing at Shri Siddhaganga Mutt in Tumkuru, said he is fortunate that he is beginning the year 2020 from such pious lande wished that the sacred energy of Sree Siddaganga Mutt enriches the lives of the people of our country.	ತುಮಕೂರು ಶ್ರೀ ಸಿದ್ದಗಂಗಾ ಮಠದಲ್ಲಿ ಮಾತನಾಡಿದ ಅವರು, ತಾವು ಈ ಪವಿತ್ರ ಭೂಮಿಯಿಂದ 2020ನ್ನು ಆರಂಭಿಸುತ್ತಿರುವುದು ತಮ್ಮ ಸುದೈವ ಎಂದು ಹೇಳಿದರು.
With his inspiring personality this holy place has been giving direction to the society for decades.	ಅವರ ಸ್ಫೂರ್ತಿದಾಯಕ ವ್ಯಕ್ತಿತ್ವದಿಂದಾಗಿ ಈ ಪವಿತ್ರ ಭೂಮಿ ದಶಕಗಳಿಂದ ಸಮಾಜಕ್ಕೆ ಮಾರ್ಗದರ್ಶನ ಮಾಡುತ್ತಿದೆ ಎಂದರು.
This museum will not only inspire people, but will also serve to give direction to the society and country.	ಈ ವಸ್ತುಸಂಗ್ರಹಾಲಯ ಕೇವಲ ಜನರಿಗೆ ಸ್ಫೂರ್ತಿಯನ್ನಷ್ಟೇ ನೀಡುವುದಿಲ್ಲ, ಜೊತೆಗೆ ದೇಶಕ್ಕೆ ಮತ್ತು ಸಮಾಜಕ್ಕೆ ದಿಕ್ಕು ತೋರಿಸುತ್ತದೆ ಎಂದರು.
Prime Minister said that India has entered the third decade of the 21st century with new energy and renewed vigor.	ಭಾರತವು 21ನೇ ಶತಮಾನದ 3ನೇ ದಶಕಕ್ಕೆ ಹೊಸ ಚೈತನ್ಯ ಮತ್ತು  ಶಕ್ತಿಯೊಂದಿಗೆ ಕಾಲಿಟ್ಟಿದೆ ಎಂದು ಪ್ರಧಾನಮಂತ್ರಿಯವರು ಹೇಳಿದರು.
This is the thinking of young India.	ನವ ಭಾರತದ ಆಶಯ ಇದಾಗಿದೆ.
This aspiration is of young dreams	ಈ ಆಶಯ ಯುವಜನರ ಕನಸಾಗಿದೆ.
This is the aspiration of the sisters and daughters of the country	ಇದು ದೇಶದ ಸೋದರಿಯರ ಮತ್ತು ಹೆಣ್ಣು ಮಕ್ಕಳ ಆಶಯವೂ ಆಗಿದೆ.
This aspiration is for the poor, downtrodden, deprived, afflicted, backward, tribals of the country.	ಇದೇ ಆಶಯ ದೇಶದ ಬಡವರು, ವಂಚಿತರು, ದುರ್ಬಲರು, ಹಿಂದುಳಿದವರು, ಬುಡಕಟ್ಟು ಜನರದ್ದೂ ಆಗಿದೆ ಎಂದರು.
This message emanating from the society also inspires, encourages our government.	ಈ ಸಂದೇಶ ಸಮಾಜದಿಂದ ಹೊರಹೊಮ್ಮುತ್ತಿದ್ದು, ನಮ್ಮ ಸರ್ಕಾರಕ್ಕೂ ಸ್ಫೂರ್ತಿ ನೀಡುತ್ತಿದೆ ಎಂದರು.
Prime Minister said that people fled from Pakistan to India, to save their lives, to save the lives of their daughters.	ತಮ್ಮ ಪ್ರಾಣ ಉಳಿಸಿಕೊಳ್ಳಲು, ತಮ್ಮ ಹೆಣ್ಣುಮಕ್ಕಳ ಜೀವ ಉಳಿಸಲು ಪಾಕಿಸ್ತಾನದಿಂದ ಭಾರತಕ್ಕೆ ಜನರು ಓಡಿ ಬಂದಿದ್ದಾರೆ ಎಂದು ಪ್ರಧಾನಮಂತ್ರಿ ಹೇಳಿದರು.
He further said that every countrymen has a question as to why people dont speak against Pakistan and instead processions are being taken out against these people.	ಜನರು ಪಾಕಿಸ್ತಾನದ ವಿರುದ್ಧ ಏಕೆ ಮಾತನಾಡುವುದಿಲ್ಲ ಮತ್ತು ಇದರ ಬದಲಾಗಿ ಈ ಜನರ ವಿರುದ್ಧ ಮೆರವಣಿಗೆಗಳನ್ನು ನಡೆಸಲಾಗುತ್ತಿದೆ ಎಂಬ ಪ್ರಶ್ನೆ ಪ್ರತಿಯೊಬ್ಬ ದೇಶವಾಸಿಗಳಿಗೂ ಇದೆ ಎಂದು ಅವರು ಹೇಳಿದರು.
To those who are agitating against the Parliament of India, Prime Minister said, If you have to agitate, raise your voice against the exploits of Pakistan in the last 70 years	ಭಾರತದ ಸಂಸತ್ತಿನ ವಿರುದ್ಧ ಪ್ರತಿಭಟನೆ ನಡೆಸುತ್ತಿರುವವರ ಬಗ್ಗೆ ಮಾತನಾಡಿದ ಪ್ರಧಾನಮಂತ್ರಿ “ನೀವು ಪ್ರತಿಭಟನೆ ಮಾಡುವುದಿದ್ದರೆ, ಕಳೆದ 70 ವರ್ಷಗಳಲ್ಲಿ ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಆಗಿರುವ ಶೋಷಣೆಯ ವಿರುದ್ಧ ಧ್ವನಿ ಎತ್ತಿ.
First, to reinforce Indias ancient culture of giving importance to every individuals duties and obligations.	ಮೊದಲನೆಯದಾಗಿ, ಪ್ರತಿಯೊಬ್ಬ ವ್ಯಕ್ತಿಯ ಕರ್ತವ್ಯಗಳು ಮತ್ತು ಕಟ್ಟುಪಾಡುಗಳಿಗೆ ಪ್ರಾಮುಖ್ಯತೆ ನೀಡುವ ಭಾರತದ ಪ್ರಾಚೀನ ಸಂಸ್ಕೃತಿಯನ್ನು ಪುನಶ್ಚೈತನ್ಯಗೊಳಿಸಿ.
Second, to protect nature and the environment.	ಎರಡನೆಯದಾಗಿ, ಪ್ರಕೃತಿ ಮತ್ತು ಪರಿಸರವನ್ನು ಸಂರಕ್ಷಿಸಲು ಸಂಕಲ್ಪಿಸಿ
And third, to cooperate in public awareness for water conservation, water harvesting.	ಮತ್ತು ಮೂರನೆಯದಾಗಿ, ನೀರಿನ ಸಂರಕ್ಷಣೆ, ನೀರಿನ ಕೊಯ್ಲುಗಾಗಿ ಸಾರ್ವಜನಿಕರಲ್ಲಿ ಜಾಗೃತಿ ಮೂಡಿಸಲು ಸಹಕರಿಸಿ.
He said that India has always viewed saints, sages, gurus as a lighthouse for the right path.	ಭಾರತವು ಸದಾ ಸಂತರು, ಋಷಿ ಮುನಿಗಳು, ಗುರುಗಳನ್ನು ಸರಿ ದಾರಿಯಲ್ಲಿ ಕರೆದೊಯ್ಯುವ ದೀಪಸ್ತಂಭದಂತೆ ನೋಡಿದೆ ಎಂದು ಹೇಳಿದರು.
